Title:,"Time Series, Area-Averaged of Merged satellite-gauge precipitation estimate - Final Run (recommended for general use) monthly 0.1 (monthly)"
User Start Date:,2003-12-01T00:00:00Z
User End Date:,2023-12-31T23:59:59Z
User Bounding Box:,"-123.7451,32.3116,-110.9131,36.8"
Data Bounding Box:,
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2003-12-01T00:00:00Z&endtime=2023-12-31T23:59:59Z&shape=tl_2014_us_state/shp_13&bbox=123.7451W,32.3116N,110.9131W,36.8N&data=GPM_3IMERGM_07_precipitation(units%3Dmm%2Fmonth)&portal=GIOVANNI&format=json"
Fill Value (mean_GPM_3IMERGM_07_precipitation):,-9999.9
first,second
time, mean_GPM_3IMERGM_07_precipitation
12/1/03 0:00,47.6303444
1/1/04 0:00,14.0729342
2/1/04 0:00,81.6006317
3/1/04 0:00,13.3444595
4/1/04 0:00,11.6605339
5/1/04 0:00,0.832656145
6/1/04 0:00,0.877469599
7/1/04 0:00,1.70461535
8/1/04 0:00,6.38233852
9/1/04 0:00,4.49524689
10/1/04 0:00,82.8074341
11/1/04 0:00,28.4094372
12/1/04 0:00,92.8355331
1/1/05 0:00,137.419785
2/1/05 0:00,117.245911
3/1/05 0:00,45.6987038
4/1/05 0:00,19.7445698
5/1/05 0:00,15.750082
6/1/05 0:00,1.09670508
7/1/05 0:00,8.81842136
8/1/05 0:00,14.0600271
9/1/05 0:00,8.08498669
10/1/05 0:00,24.5201397
11/1/05 0:00,9.9628849
12/1/05 0:00,34.9311028
1/1/06 0:00,50.0895805
2/1/06 0:00,27.296917
3/1/06 0:00,66.0918503
4/1/06 0:00,55.3925095
5/1/06 0:00,10.5325317
6/1/06 0:00,1.5135814
7/1/06 0:00,6.43149185
8/1/06 0:00,4.54413986
9/1/06 0:00,4.53495884
10/1/06 0:00,9.65504551
11/1/06 0:00,8.15963745
12/1/06 0:00,24.1657505
1/1/07 0:00,13.7304287
2/1/07 0:00,33.6342125
3/1/07 0:00,8.91136646
4/1/07 0:00,14.0768938
5/1/07 0:00,1.78119099
6/1/07 0:00,0.147750378
7/1/07 0:00,5.23130131
8/1/07 0:00,4.33162689
9/1/07 0:00,14.8972406
10/1/07 0:00,6.32295561
11/1/07 0:00,14.8720293
12/1/07 0:00,40.4892235
1/1/08 0:00,117.615898
2/1/08 0:00,36.9191742
3/1/08 0:00,3.86431479
4/1/08 0:00,3.69065213
5/1/08 0:00,6.60353231
6/1/08 0:00,0.262828261
7/1/08 0:00,8.51249027
8/1/08 0:00,6.50760555
9/1/08 0:00,2.27728724
10/1/08 0:00,2.46107674
11/1/08 0:00,35.1684608
12/1/08 0:00,50.2303391
1/1/09 0:00,14.9653368
2/1/09 0:00,68.0523529
3/1/09 0:00,12.4224854
4/1/09 0:00,6.38327122
5/1/09 0:00,4.27485991
6/1/09 0:00,3.94232297
7/1/09 0:00,2.63368893
8/1/09 0:00,2.73757553
9/1/09 0:00,3.28213573
10/1/09 0:00,23.0628796
11/1/09 0:00,7.18098021
12/1/09 0:00,55.4672318
1/1/10 0:00,112.977264
2/1/10 0:00,67.3734665
3/1/10 0:00,18.3131237
4/1/10 0:00,37.262928
5/1/10 0:00,3.56538105
6/1/10 0:00,0.45209375
7/1/10 0:00,3.52902651
8/1/10 0:00,3.13750124
9/1/10 0:00,1.44651437
10/1/10 0:00,32.2261429
11/1/10 0:00,26.108736
12/1/10 0:00,161.958221
1/1/11 0:00,20.3422604
2/1/11 0:00,45.0750999
3/1/11 0:00,68.8572159
4/1/11 0:00,12.8009481
5/1/11 0:00,10.0645742
6/1/11 0:00,5.62889528
7/1/11 0:00,7.93299675
8/1/11 0:00,4.26222658
9/1/11 0:00,9.76909161
10/1/11 0:00,13.5083618
11/1/11 0:00,34.9911613
12/1/11 0:00,21.3006001
1/1/12 0:00,32.9568863
2/1/12 0:00,26.0910969
3/1/12 0:00,42.9166222
4/1/12 0:00,35.5629921
5/1/12 0:00,2.94927764
6/1/12 0:00,1.00405228
7/1/12 0:00,11.5731678
8/1/12 0:00,8.09577465
9/1/12 0:00,4.66442394
10/1/12 0:00,8.02011681
11/1/12 0:00,22.733963
12/1/12 0:00,45.3391685
1/1/13 0:00,35.5036697
2/1/13 0:00,22.9017944
3/1/13 0:00,26.8036995
4/1/13 0:00,10.0273361
5/1/13 0:00,5.19205809
6/1/13 0:00,0.950094819
7/1/13 0:00,7.02416134
8/1/13 0:00,9.98068142
9/1/13 0:00,7.35018063
10/1/13 0:00,6.02028465
11/1/13 0:00,30.3175335
12/1/13 0:00,16.5078983
1/1/14 0:00,19.9700317
2/1/14 0:00,48.951107
3/1/14 0:00,27.162487
4/1/14 0:00,15.7647676
5/1/14 0:00,3.76956224
6/1/14 0:00,0.793251991
7/1/14 0:00,4.62726259
8/1/14 0:00,10.5896473
9/1/14 0:00,7.21326828
10/1/14 0:00,8.88371658
11/1/14 0:00,18.6217766
12/1/14 0:00,68.2634735
1/1/15 0:00,36.8774071
2/1/15 0:00,27.5518284
3/1/15 0:00,23.198534
4/1/15 0:00,13.8571033
5/1/15 0:00,12.1856298
6/1/15 0:00,4.30719614
7/1/15 0:00,15.3048258
8/1/15 0:00,4.48531818
9/1/15 0:00,9.90510559
10/1/15 0:00,18.1948738
11/1/15 0:00,23.765337
12/1/15 0:00,27.9067421
1/1/16 0:00,72.215332
2/1/16 0:00,20.1489944
3/1/16 0:00,38.0938988
4/1/16 0:00,27.0089951
5/1/16 0:00,6.45368195
6/1/16 0:00,2.02730989
7/1/16 0:00,2.73722982
8/1/16 0:00,3.7585597
9/1/16 0:00,5.63192463
10/1/16 0:00,17.4749355
11/1/16 0:00,25.7278214
12/1/16 0:00,65.1864243
1/1/17 0:00,108.781082
2/1/17 0:00,83.2937241
3/1/17 0:00,22.0433083
4/1/17 0:00,16.8625584
5/1/17 0:00,7.66974449
6/1/17 0:00,1.06658399
7/1/17 0:00,4.52561569
8/1/17 0:00,7.10041714
9/1/17 0:00,9.12714577
10/1/17 0:00,3.6305809
11/1/17 0:00,13.8140097
12/1/17 0:00,14.0104485
1/1/18 0:00,52.5856819
2/1/18 0:00,18.8953762
3/1/18 0:00,64.0898132
4/1/18 0:00,11.9823513
5/1/18 0:00,4.6978817
6/1/18 0:00,0.852257729
7/1/18 0:00,6.74978352
8/1/18 0:00,4.00882721
9/1/18 0:00,3.6571877
10/1/18 0:00,12.50142
11/1/18 0:00,29.9746323
12/1/18 0:00,36.1990395
1/1/19 0:00,74.8802261
2/1/19 0:00,80.7105255
3/1/19 0:00,53.8597145
4/1/19 0:00,12.5401535
5/1/19 0:00,25.0823154
6/1/19 0:00,1.7499727
7/1/19 0:00,3.47577071
8/1/19 0:00,2.90187263
9/1/19 0:00,6.52563
10/1/19 0:00,3.2869525
11/1/19 0:00,46.2798538
12/1/19 0:00,74.7055969
1/1/20 0:00,22.7694359
2/1/20 0:00,21.0086384
3/1/20 0:00,75.0551605
4/1/20 0:00,58.6727753
5/1/20 0:00,3.7000339
6/1/20 0:00,1.38915527
7/1/20 0:00,2.0745616
8/1/20 0:00,3.91505837
9/1/20 0:00,3.2891748
10/1/20 0:00,4.44900227
11/1/20 0:00,13.8036585
12/1/20 0:00,28.6313896
1/1/21 0:00,55.9261055
2/1/21 0:00,18.7682667
3/1/21 0:00,30.4148293
4/1/21 0:00,8.26725101
5/1/21 0:00,2.60981989
6/1/21 0:00,1.03968394
7/1/21 0:00,9.57429695
8/1/21 0:00,6.11293077
9/1/21 0:00,6.58879662
10/1/21 0:00,18.6309032
11/1/21 0:00,10.4816532
12/1/21 0:00,81.5676346
1/1/22 0:00,17.937252
2/1/22 0:00,18.0906734
3/1/22 0:00,29.0618839
